TASK_ID -- core -- memory -- disk -- time -- drop_out_rate -- num_residual_blocks
342 -- 0.512 -- 3085 -- 2437 -- 2336.932897 -- 0.9 -- 2
359 -- 0.822 -- 3352 -- 2437 -- 2351.216799 -- 0.9 -- 19
50 -- 0.694 -- 3264 -- 2437 -- 3929.325207 -- 0.15000000000000002 -- 10
251 -- 1.002 -- 3287 -- 2437 -- 2876.94706 -- 0.65 -- 11
291 -- 0.514 -- 3286 -- 2437 -- 2717.790172 -- 0.75 -- 11
354 -- 0.66 -- 3252 -- 2437 -- 2472.647944 -- 0.9 -- 14
349 -- 1.003 -- 3241 -- 2437 -- 2492.463102 -- 0.9 -- 9
119 -- 0.614 -- 3333 -- 2437 -- 3552.412756 -- 0.30000000000000004 -- 19
18 -- 1.001 -- 3346 -- 2437 -- 4211.539041 -- 0.05 -- 18
277 -- 0.713 -- 3309 -- 2437 -- 2842.109439 -- 0.7000000000000001 -- 17
152 -- 0.897 -- 3253 -- 2437 -- 3426.408228 -- 0.4 -- 12
312 -- 0.601 -- 3252 -- 2437 -- 2732.992781 -- 0.8 -- 12
197 -- 0.595 -- 3331 -- 2437 -- 3262.544616 -- 0.5 -- 17
77 -- 0.549 -- 3299 -- 2437 -- 3926.216828 -- 0.2 -- 17
109 -- 0.67 -- 3243 -- 2437 -- 3773.971876 -- 0.30000000000000004 -- 9
135 -- 1.001 -- 3303 -- 2437 -- 3637.964554 -- 0.35000000000000003 -- 15
192 -- 0.92 -- 3252 -- 2437 -- 3361.050188 -- 0.5 -- 12
167 -- 0.611 -- 3161 -- 2437 -- 3484.742847 -- 0.45 -- 7
264 -- 0.521 -- 3105 -- 2437 -- 3060.794042 -- 0.7000000000000001 -- 4
350 -- 1.001 -- 3171 -- 2437 -- 2690.806427 -- 0.9 -- 10
225 -- 0.555 -- 3173 -- 2437 -- 3232.645655 -- 0.6000000000000001 -- 5
271 -- 0.491 -- 3262 -- 2437 -- 3042.190759 -- 0.7000000000000001 -- 11
211 -- 0.848 -- 3288 -- 2437 -- 3344.854447 -- 0.55 -- 11
75 -- 0.915 -- 3303 -- 2437 -- 4095.782623 -- 0.2 -- 15
98 -- 0.499 -- 3367 -- 2437 -- 3965.998805 -- 0.25 -- 18
375 -- 0.666 -- 3327 -- 2437 -- 2701.428922 -- 0.9500000000000001 -- 15
72 -- 0.577 -- 3249 -- 2437 -- 2826.062174 -- 0.2 -- 12
369 -- 0.431 -- 3273 -- 2437 -- 2887.876425 -- 0.9500000000000001 -- 9
373 -- 0.589 -- 3346 -- 2437 -- 2902.415833 -- 0.9500000000000001 -- 13
